,학정번호,강의명/교수명,별점,final_성적,final_교수,final_로드,final_강의력,족보여부,강의자료질
172,YCC1102-02-00,대학영어Ⅱ/오진숙,5.0,1.0,1.0,0.5,0.5,0.0,0.5
173,YCC1102-02-00,대학영어Ⅱ/오진숙,5.0,1.0,1.0,0.5,0.5,0.0,0.5
174,YCC1102-02-00,대학영어Ⅱ/오진숙,2.0,1.0,1.0,0.5,0.5,0.0,0.5
175,YCC1102-02-00,대학영어Ⅱ/오진숙,5.0,1.0,1.0,0.5,0.85,0.0,0.5
176,YCC1102-02-00,대학영어Ⅱ/오진숙,5.0,1.0,1.0,0.85,0.5,0.0,0.5
177,YCC1102-02-00,대학영어Ⅱ/오진숙,5.0,1.0,1.0,0.85,0.85,0.0,0.5
178,YCC1102-02-00,대학영어Ⅱ/오진숙,4.0,1.0,1.0,0.5,0.85,0.0,0.5
179,YCC1102-02-00,대학영어Ⅱ/오진숙,4.0,1.0,1.0,0.5,0.5,0.0,0.5
180,YCC1102-02-00,대학영어Ⅱ/오진숙,5.0,1.0,1.0,0.5,0.5,0.0,0.5
181,YCC1102-02-00,대학영어Ⅱ/오진숙,5.0,1.0,1.0,0.85,0.5,0.0,0.5
182,YCC1102-02-00,대학영어Ⅱ/오진숙,5.0,1.0,1.0,0.85,0.5,0.0,0.5
183,YCC1102-02-00,대학영어Ⅱ/오진숙,3.0,1.0,1.0,0.5,0.5,0.0,0.5
184,YCC1102-02-00,대학영어Ⅱ/오진숙,1.0,1.0,1.0,0.5,0.5,0.0,0.5
185,YCC1102-02-00,대학영어Ⅱ/오진숙,4.0,1.0,1.0,0.85,0.85,0.0,0.5
186,YCC1102-02-00,대학영어Ⅱ/오진숙,4.0,1.0,1.0,0.85,0.5,0.0,0.5
187,YCC1102-02-00,대학영어Ⅱ/오진숙,5.0,1.0,1.0,0.85,0.85,0.0,0.5
188,YCC1102-02-00,대학영어Ⅱ/오진숙,5.0,1.0,1.0,0.5,0.85,0.0,0.5
189,YCC1102-02-00,대학영어Ⅱ/오진숙,5.0,1.0,1.0,0.85,0.85,0.0,0.5
190,YCC1102-02-00,대학영어Ⅱ/오진숙,5.0,1.0,1.0,0.85,0.85,0.0,0.5
191,YCC1102-02-00,대학영어Ⅱ/오진숙,5.0,1.0,1.0,0.5,0.5,0.0,0.5
192,YCC1102-02-00,대학영어Ⅱ/오진숙,5.0,1.0,1.0,0.5,0.85,0.0,0.5
193,YCC1102-02-00,대학영어Ⅱ/오진숙,5.0,1.0,1.0,0.5,0.5,0.0,0.5
194,YCC1102-02-00,대학영어Ⅱ/오진숙,5.0,1.0,1.0,0.85,0.5,0.0,0.5
195,YCC1102-02-00,대학영어Ⅱ/오진숙,4.0,1.0,1.0,0.5,0.5,0.0,0.5
196,YCC1102-02-00,대학영어Ⅱ/오진숙,5.0,1.0,1.0,0.5,0.5,0.0,0.5
197,YCC1102-02-00,대학영어Ⅱ/오진숙,4.0,1.0,1.0,0.5,0.5,0.0,0.5
198,YCC1102-02-00,대학영어Ⅱ/오진숙,3.0,1.0,1.0,0.5,0.5,0.0,0.5
199,YCC1102-02-00,대학영어Ⅱ/오진숙,5.0,1.0,1.0,0.5,0.5,0.0,0.5
200,YCC1102-02-00,대학영어Ⅱ/오진숙,5.0,1.0,1.0,0.5,0.5,0.0,0.5
201,YCC1102-02-00,대학영어Ⅱ/오진숙,5.0,1.0,1.0,0.85,0.85,0.0,0.5
202,YCC1102-02-00,대학영어Ⅱ/오진숙,5.0,1.0,1.0,0.85,0.85,0.0,0.5
203,YCC1102-02-00,대학영어Ⅱ/오진숙,5.0,1.0,1.0,0.85,0.85,0.0,0.5
204,YCC1102-02-00,대학영어Ⅱ/오진숙,5.0,1.0,1.0,0.85,0.85,0.0,0.5
205,YCC1102-02-00,대학영어Ⅱ/오진숙,5.0,1.0,1.0,0.85,0.85,0.0,0.5
206,YCC1102-02-00,대학영어Ⅱ/오진숙,4.0,1.0,1.0,0.5,0.5,0.0,0.5
207,YCC1102-02-00,대학영어Ⅱ/오진숙,5.0,1.0,1.0,0.5,0.5,0.0,0.5
208,YCC1202-01-00,고급대학영어Ⅱ/롱마이클,2.0,1.0,0.3,0.5,0.0,0.0,0.5
209,YCC1202-01-00,고급대학영어Ⅱ/롱마이클,4.0,1.0,0.0,0.5,0.0,0.0,0.5
210,YCC1202-01-00,고급대학영어Ⅱ/롱마이클,5.0,1.0,0.0,0.5,0.0,0.0,0.5
211,YCC1202-01-00,고급대학영어Ⅱ/롱마이클,4.0,1.0,0.0,0.5,0.0,0.0,0.5
212,YCC1202-01-00,고급대학영어Ⅱ/롱마이클,3.0,1.0,0.0,0.5,0.0,0.0,0.5
213,YCC1202-01-00,고급대학영어Ⅱ/롱마이클,5.0,1.0,1.0,0.85,0.7,0.0,0.5
214,YCC1202-01-00,고급대학영어Ⅱ/롱마이클,2.0,1.0,1.0,0.85,0.7,0.0,0.5
215,YCC1202-01-00,고급대학영어Ⅱ/롱마이클,5.0,1.0,0.0,0.5,0.0,0.0,0.5
216,YCC1202-01-00,고급대학영어Ⅱ/롱마이클,5.0,1.0,0.0,0.85,0.0,0.0,0.5
217,YCC1202-01-00,고급대학영어Ⅱ/롱마이클,4.0,1.0,0.0,0.85,0.0,0.0,0.5
218,YCC1202-01-00,고급대학영어Ⅱ/롱마이클,1.0,1.0,0.0,0.5,0.0,0.0,0.5
219,YCC1202-01-00,고급대학영어Ⅱ/롱마이클,5.0,1.0,0.0,0.5,0.0,0.0,0.5
220,YCC1202-01-00,고급대학영어Ⅱ/롱마이클,5.0,1.0,0.0,0.5,0.0,0.0,0.5
221,YCC1202-01-00,고급대학영어Ⅱ/롱마이클,4.0,1.0,0.0,0.85,0.0,0.0,0.5
222,YCC1202-01-00,고급대학영어Ⅱ/롱마이클,4.0,1.0,0.0,0.85,0.0,0.0,0.5
